year,period,periodName,value,footnotes
2021,M12,December,217,[{}]
2021,M11,November,218,[{}]
2021,M10,October,249,[{}]
2021,M09,September,196,[{}]
2021,M08,August,201,[{}]
2021,M07,July,207,[{}]
2021,M06,June,173,[{}]
2021,M05,May,169,[{}]
2021,M04,April,184,[{}]
2021,M03,March,166,[{}]
2021,M02,February,134,[{}]
2021,M01,January,125,[{}]
2020,M12,December,123,[{}]
2020,M11,November,120,[{}]
2020,M10,October,133,[{}]
2020,M09,September,113,[{}]
2020,M08,August,120,[{}]
2020,M07,July,155,[{}]
2020,M06,June,120,[{}]
2020,M05,May,97,[{}]
2020,M04,April,100,[{}]
2020,M03,March,112,[{}]
2020,M02,February,122,[{}]
2020,M01,January,115,[{}]
2019,M12,December,95,[{}]
2019,M11,November,115,[{}]
2019,M10,October,134,[{}]
2019,M09,September,141,[{}]
2019,M08,August,141,[{}]
2019,M07,July,186,[{}]
2019,M06,June,168,[{}]
2019,M05,May,161,[{}]
2019,M04,April,181,[{}]
2019,M03,March,155,[{}]
2019,M02,February,151,[{}]
2019,M01,January,147,[{}]
