year,period,periodName,value,footnotes
2021,M12,December,274,[{}]
2021,M11,November,271,[{}]
2021,M10,October,304,[{}]
2021,M09,September,295,[{}]
2021,M08,August,305,[{}]
2021,M07,July,304,[{}]
2021,M06,June,276,[{}]
2021,M05,May,258,[{}]
2021,M04,April,271,[{}]
2021,M03,March,277,[{}]
2021,M02,February,223,[{}]
2021,M01,January,203,[{}]
2020,M12,December,201,[{}]
2020,M11,November,215,[{}]
2020,M10,October,224,[{}]
2020,M09,September,203,[{}]
2020,M08,August,171,[{}]
2020,M07,July,200,[{}]
2020,M06,June,186,[{}]
2020,M05,May,151,[{}]
2020,M04,April,149,[{}]
2020,M03,March,152,[{}]
2020,M02,February,185,[{}]
2020,M01,January,192,[{}]
2019,M12,December,168,[{}]
2019,M11,November,193,[{}]
2019,M10,October,191,[{}]
2019,M09,September,190,[{}]
2019,M08,August,199,[{}]
2019,M07,July,180,[{}]
2019,M06,June,177,[{}]
2019,M05,May,188,[{}]
2019,M04,April,176,[{}]
2019,M03,March,184,[{}]
2019,M02,February,162,[{}]
2019,M01,January,188,[{}]
