year,period,periodName,value,footnotes
2021,M12,December,49,[{}]
2021,M11,November,48,[{}]
2021,M10,October,57,[{}]
2021,M09,September,58,[{}]
2021,M08,August,57,[{}]
2021,M07,July,61,[{}]
2021,M06,June,57,[{}]
2021,M05,May,56,[{}]
2021,M04,April,57,[{}]
2021,M03,March,47,[{}]
2021,M02,February,49,[{}]
2021,M01,January,43,[{}]
2020,M12,December,43,[{}]
2020,M11,November,40,[{}]
2020,M10,October,47,[{}]
2020,M09,September,55,[{}]
2020,M08,August,48,[{}]
2020,M07,July,51,[{}]
2020,M06,June,41,[{}]
2020,M05,May,37,[{}]
2020,M04,April,38,[{}]
2020,M03,March,40,[{}]
2020,M02,February,38,[{}]
2020,M01,January,45,[{}]
2019,M12,December,34,[{}]
2019,M11,November,36,[{}]
2019,M10,October,43,[{}]
2019,M09,September,52,[{}]
2019,M08,August,40,[{}]
2019,M07,July,38,[{}]
2019,M06,June,39,[{}]
2019,M05,May,42,[{}]
2019,M04,April,45,[{}]
2019,M03,March,43,[{}]
2019,M02,February,34,[{}]
2019,M01,January,38,[{}]
