year,period,periodName,value,footnotes
2021,M12,December,34,[{}]
2021,M11,November,34,[{}]
2021,M10,October,39,[{}]
2021,M09,September,37,[{}]
2021,M08,August,39,[{}]
2021,M07,July,43,[{}]
2021,M06,June,33,[{}]
2021,M05,May,33,[{}]
2021,M04,April,37,[{}]
2021,M03,March,29,[{}]
2021,M02,February,28,[{}]
2021,M01,January,24,[{}]
2020,M12,December,19,[{}]
2020,M11,November,19,[{}]
2020,M10,October,25,[{}]
2020,M09,September,19,[{}]
2020,M08,August,21,[{}]
2020,M07,July,21,[{}]
2020,M06,June,25,[{}]
2020,M05,May,21,[{}]
2020,M04,April,17,[{}]
2020,M03,March,19,[{}]
2020,M02,February,23,[{}]
2020,M01,January,22,[{}]
2019,M12,December,20,[{}]
2019,M11,November,21,[{}]
2019,M10,October,25,[{}]
2019,M09,September,26,[{}]
2019,M08,August,28,[{}]
2019,M07,July,22,[{}]
2019,M06,June,24,[{}]
2019,M05,May,25,[{}]
2019,M04,April,24,[{}]
2019,M03,March,24,[{}]
2019,M02,February,24,[{}]
2019,M01,January,26,[{}]
