year,period,periodName,value,footnotes
2021,M12,December,282,[{}]
2021,M11,November,288,[{}]
2021,M10,October,288,[{}]
2021,M09,September,354,[{}]
2021,M08,August,297,[{}]
2021,M07,July,317,[{}]
2021,M06,June,271,[{}]
2021,M05,May,277,[{}]
2021,M04,April,290,[{}]
2021,M03,March,223,[{}]
2021,M02,February,245,[{}]
2021,M01,January,203,[{}]
2020,M12,December,197,[{}]
2020,M11,November,192,[{}]
2020,M10,October,220,[{}]
2020,M09,September,199,[{}]
2020,M08,August,214,[{}]
2020,M07,July,210,[{}]
2020,M06,June,196,[{}]
2020,M05,May,164,[{}]
2020,M04,April,181,[{}]
2020,M03,March,198,[{}]
2020,M02,February,200,[{}]
2020,M01,January,215,[{}]
2019,M12,December,194,[{}]
2019,M11,November,203,[{}]
2019,M10,October,258,[{}]
2019,M09,September,225,[{}]
2019,M08,August,218,[{}]
2019,M07,July,234,[{}]
2019,M06,June,222,[{}]
2019,M05,May,238,[{}]
2019,M04,April,233,[{}]
2019,M03,March,214,[{}]
2019,M02,February,197,[{}]
2019,M01,January,207,[{}]
