year,period,periodName,value,footnotes
2021,M12,December,112,[{}]
2021,M11,November,106,[{}]
2021,M10,October,133,[{}]
2021,M09,September,129,[{}]
2021,M08,August,104,[{}]
2021,M07,July,128,[{}]
2021,M06,June,112,[{}]
2021,M05,May,103,[{}]
2021,M04,April,120,[{}]
2021,M03,March,107,[{}]
2021,M02,February,89,[{}]
2021,M01,January,92,[{}]
2020,M12,December,77,[{}]
2020,M11,November,75,[{}]
2020,M10,October,92,[{}]
2020,M09,September,79,[{}]
2020,M08,August,89,[{}]
2020,M07,July,94,[{}]
2020,M06,June,76,[{}]
2020,M05,May,79,[{}]
2020,M04,April,86,[{}]
2020,M03,March,72,[{}]
2020,M02,February,75,[{}]
2020,M01,January,85,[{}]
2019,M12,December,65,[{}]
2019,M11,November,67,[{}]
2019,M10,October,92,[{}]
2019,M09,September,87,[{}]
2019,M08,August,85,[{}]
2019,M07,July,85,[{}]
2019,M06,June,81,[{}]
2019,M05,May,91,[{}]
2019,M04,April,86,[{}]
2019,M03,March,87,[{}]
2019,M02,February,71,[{}]
2019,M01,January,79,[{}]
