year,period,periodName,value,footnotes
2021,M12,December,140,[{}]
2021,M11,November,125,[{}]
2021,M10,October,160,[{}]
2021,M09,September,129,[{}]
2021,M08,August,145,[{}]
2021,M07,July,160,[{}]
2021,M06,June,126,[{}]
2021,M05,May,129,[{}]
2021,M04,April,125,[{}]
2021,M03,March,123,[{}]
2021,M02,February,109,[{}]
2021,M01,January,103,[{}]
2020,M12,December,82,[{}]
2020,M11,November,97,[{}]
2020,M10,October,103,[{}]
2020,M09,September,105,[{}]
2020,M08,August,100,[{}]
2020,M07,July,105,[{}]
2020,M06,June,79,[{}]
2020,M05,May,66,[{}]
2020,M04,April,73,[{}]
2020,M03,March,92,[{}]
2020,M02,February,109,[{}]
2020,M01,January,110,[{}]
2019,M12,December,105,[{}]
2019,M11,November,88,[{}]
2019,M10,October,115,[{}]
2019,M09,September,110,[{}]
2019,M08,August,101,[{}]
2019,M07,July,109,[{}]
2019,M06,June,110,[{}]
2019,M05,May,94,[{}]
2019,M04,April,101,[{}]
2019,M03,March,97,[{}]
2019,M02,February,86,[{}]
2019,M01,January,109,[{}]
