year,period,periodName,value,footnotes
2021,M12,December,32,[{}]
2021,M11,November,30,[{}]
2021,M10,October,39,[{}]
2021,M09,September,37,[{}]
2021,M08,August,36,[{}]
2021,M07,July,35,[{}]
2021,M06,June,31,[{}]
2021,M05,May,33,[{}]
2021,M04,April,32,[{}]
2021,M03,March,26,[{}]
2021,M02,February,21,[{}]
2021,M01,January,20,[{}]
2020,M12,December,21,[{}]
2020,M11,November,20,[{}]
2020,M10,October,25,[{}]
2020,M09,September,22,[{}]
2020,M08,August,20,[{}]
2020,M07,July,21,[{}]
2020,M06,June,16,[{}]
2020,M05,May,15,[{}]
2020,M04,April,17,[{}]
2020,M03,March,16,[{}]
2020,M02,February,19,[{}]
2020,M01,January,19,[{}]
2019,M12,December,17,[{}]
2019,M11,November,19,[{}]
2019,M10,October,23,[{}]
2019,M09,September,21,[{}]
2019,M08,August,25,[{}]
2019,M07,July,23,[{}]
2019,M06,June,25,[{}]
2019,M05,May,29,[{}]
2019,M04,April,23,[{}]
2019,M03,March,21,[{}]
2019,M02,February,21,[{}]
2019,M01,January,18,[{}]
