year,period,periodName,value,footnotes
2021,M12,December,98,[{}]
2021,M11,November,104,[{}]
2021,M10,October,103,[{}]
2021,M09,September,91,[{}]
2021,M08,August,108,[{}]
2021,M07,July,115,[{}]
2021,M06,June,86,[{}]
2021,M05,May,103,[{}]
2021,M04,April,100,[{}]
2021,M03,March,85,[{}]
2021,M02,February,68,[{}]
2021,M01,January,69,[{}]
2020,M12,December,58,[{}]
2020,M11,November,56,[{}]
2020,M10,October,67,[{}]
2020,M09,September,56,[{}]
2020,M08,August,58,[{}]
2020,M07,July,62,[{}]
2020,M06,June,53,[{}]
2020,M05,May,55,[{}]
2020,M04,April,52,[{}]
2020,M03,March,59,[{}]
2020,M02,February,62,[{}]
2020,M01,January,69,[{}]
2019,M12,December,58,[{}]
2019,M11,November,61,[{}]
2019,M10,October,83,[{}]
2019,M09,September,66,[{}]
2019,M08,August,68,[{}]
2019,M07,July,65,[{}]
2019,M06,June,60,[{}]
2019,M05,May,70,[{}]
2019,M04,April,69,[{}]
2019,M03,March,62,[{}]
2019,M02,February,57,[{}]
2019,M01,January,63,[{}]
