year,period,periodName,value,footnotes
2021,M12,December,559,[{}]
2021,M11,November,619,[{}]
2021,M10,October,568,[{}]
2021,M09,September,547,[{}]
2021,M08,August,564,[{}]
2021,M07,July,644,[{}]
2021,M06,June,491,[{}]
2021,M05,May,518,[{}]
2021,M04,April,535,[{}]
2021,M03,March,421,[{}]
2021,M02,February,392,[{}]
2021,M01,January,342,[{}]
2020,M12,December,313,[{}]
2020,M11,November,295,[{}]
2020,M10,October,342,[{}]
2020,M09,September,312,[{}]
2020,M08,August,355,[{}]
2020,M07,July,406,[{}]
2020,M06,June,319,[{}]
2020,M05,May,293,[{}]
2020,M04,April,274,[{}]
2020,M03,March,348,[{}]
2020,M02,February,374,[{}]
2020,M01,January,425,[{}]
2019,M12,December,368,[{}]
2019,M11,November,343,[{}]
2019,M10,October,431,[{}]
2019,M09,September,411,[{}]
2019,M08,August,468,[{}]
2019,M07,July,383,[{}]
2019,M06,June,399,[{}]
2019,M05,May,399,[{}]
2019,M04,April,372,[{}]
2019,M03,March,370,[{}]
2019,M02,February,355,[{}]
2019,M01,January,371,[{}]
