year,period,periodName,value,footnotes
2021,M12,December,365,[{}]
2021,M11,November,421,[{}]
2021,M10,October,445,[{}]
2021,M09,September,405,[{}]
2021,M08,August,347,[{}]
2021,M07,July,403,[{}]
2021,M06,June,319,[{}]
2021,M05,May,325,[{}]
2021,M04,April,335,[{}]
2021,M03,March,309,[{}]
2021,M02,February,287,[{}]
2021,M01,January,250,[{}]
2020,M12,December,219,[{}]
2020,M11,November,239,[{}]
2020,M10,October,270,[{}]
2020,M09,September,233,[{}]
2020,M08,August,241,[{}]
2020,M07,July,256,[{}]
2020,M06,June,241,[{}]
2020,M05,May,230,[{}]
2020,M04,April,205,[{}]
2020,M03,March,211,[{}]
2020,M02,February,249,[{}]
2020,M01,January,249,[{}]
2019,M12,December,211,[{}]
2019,M11,November,249,[{}]
2019,M10,October,290,[{}]
2019,M09,September,265,[{}]
2019,M08,August,271,[{}]
2019,M07,July,294,[{}]
2019,M06,June,253,[{}]
2019,M05,May,296,[{}]
2019,M04,April,321,[{}]
2019,M03,March,289,[{}]
2019,M02,February,252,[{}]
2019,M01,January,307,[{}]
