year,period,periodName,value,footnotes
2021,M12,December,237,[{}]
2021,M11,November,231,[{}]
2021,M10,October,254,[{}]
2021,M09,September,242,[{}]
2021,M08,August,230,[{}]
2021,M07,July,247,[{}]
2021,M06,June,226,[{}]
2021,M05,May,221,[{}]
2021,M04,April,218,[{}]
2021,M03,March,187,[{}]
2021,M02,February,145,[{}]
2021,M01,January,151,[{}]
2020,M12,December,125,[{}]
2020,M11,November,148,[{}]
2020,M10,October,156,[{}]
2020,M09,September,152,[{}]
2020,M08,August,146,[{}]
2020,M07,July,163,[{}]
2020,M06,June,126,[{}]
2020,M05,May,129,[{}]
2020,M04,April,108,[{}]
2020,M03,March,119,[{}]
2020,M02,February,151,[{}]
2020,M01,January,145,[{}]
2019,M12,December,108,[{}]
2019,M11,November,133,[{}]
2019,M10,October,177,[{}]
2019,M09,September,159,[{}]
2019,M08,August,163,[{}]
2019,M07,July,170,[{}]
2019,M06,June,159,[{}]
2019,M05,May,158,[{}]
2019,M04,April,183,[{}]
2019,M03,March,151,[{}]
2019,M02,February,159,[{}]
2019,M01,January,162,[{}]
