year,period,periodName,value,footnotes
2021,M12,December,213,[{}]
2021,M11,November,188,[{}]
2021,M10,October,259,[{}]
2021,M09,September,203,[{}]
2021,M08,August,189,[{}]
2021,M07,July,214,[{}]
2021,M06,June,179,[{}]
2021,M05,May,193,[{}]
2021,M04,April,184,[{}]
2021,M03,March,125,[{}]
2021,M02,February,127,[{}]
2021,M01,January,119,[{}]
2020,M12,December,102,[{}]
2020,M11,November,116,[{}]
2020,M10,October,134,[{}]
2020,M09,September,111,[{}]
2020,M08,August,113,[{}]
2020,M07,July,140,[{}]
2020,M06,June,98,[{}]
2020,M05,May,90,[{}]
2020,M04,April,103,[{}]
2020,M03,March,106,[{}]
2020,M02,February,114,[{}]
2020,M01,January,131,[{}]
2019,M12,December,112,[{}]
2019,M11,November,121,[{}]
2019,M10,October,127,[{}]
2019,M09,September,134,[{}]
2019,M08,August,141,[{}]
2019,M07,July,143,[{}]
2019,M06,June,144,[{}]
2019,M05,May,166,[{}]
2019,M04,April,162,[{}]
2019,M03,March,135,[{}]
2019,M02,February,140,[{}]
2019,M01,January,149,[{}]
