year,period,periodName,value,footnotes
2021,M12,December,58,[{}]
2021,M11,November,58,[{}]
2021,M10,October,75,[{}]
2021,M09,September,62,[{}]
2021,M08,August,67,[{}]
2021,M07,July,76,[{}]
2021,M06,June,54,[{}]
2021,M05,May,52,[{}]
2021,M04,April,60,[{}]
2021,M03,March,50,[{}]
2021,M02,February,44,[{}]
2021,M01,January,52,[{}]
2020,M12,December,35,[{}]
2020,M11,November,36,[{}]
2020,M10,October,46,[{}]
2020,M09,September,41,[{}]
2020,M08,August,43,[{}]
2020,M07,July,42,[{}]
2020,M06,June,31,[{}]
2020,M05,May,29,[{}]
2020,M04,April,40,[{}]
2020,M03,March,35,[{}]
2020,M02,February,39,[{}]
2020,M01,January,53,[{}]
2019,M12,December,40,[{}]
2019,M11,November,39,[{}]
2019,M10,October,48,[{}]
2019,M09,September,47,[{}]
2019,M08,August,59,[{}]
2019,M07,July,58,[{}]
2019,M06,June,44,[{}]
2019,M05,May,43,[{}]
2019,M04,April,46,[{}]
2019,M03,March,45,[{}]
2019,M02,February,39,[{}]
2019,M01,January,49,[{}]
