year,period,periodName,value,footnotes
2021,M12,December,137,[{}]
2021,M11,November,150,[{}]
2021,M10,October,160,[{}]
2021,M09,September,145,[{}]
2021,M08,August,149,[{}]
2021,M07,July,157,[{}]
2021,M06,June,143,[{}]
2021,M05,May,144,[{}]
2021,M04,April,144,[{}]
2021,M03,March,109,[{}]
2021,M02,February,119,[{}]
2021,M01,January,112,[{}]
2020,M12,December,103,[{}]
2020,M11,November,96,[{}]
2020,M10,October,109,[{}]
2020,M09,September,104,[{}]
2020,M08,August,107,[{}]
2020,M07,July,109,[{}]
2020,M06,June,84,[{}]
2020,M05,May,96,[{}]
2020,M04,April,75,[{}]
2020,M03,March,77,[{}]
2020,M02,February,97,[{}]
2020,M01,January,96,[{}]
2019,M12,December,77,[{}]
2019,M11,November,88,[{}]
2019,M10,October,106,[{}]
2019,M09,September,103,[{}]
2019,M08,August,91,[{}]
2019,M07,July,96,[{}]
2019,M06,June,99,[{}]
2019,M05,May,100,[{}]
2019,M04,April,107,[{}]
2019,M03,March,99,[{}]
2019,M02,February,86,[{}]
2019,M01,January,92,[{}]
