year,period,periodName,value,footnotes
2021,M12,December,172,[{}]
2021,M11,November,154,[{}]
2021,M10,October,194,[{}]
2021,M09,September,175,[{}]
2021,M08,August,183,[{}]
2021,M07,July,199,[{}]
2021,M06,June,149,[{}]
2021,M05,May,171,[{}]
2021,M04,April,174,[{}]
2021,M03,March,136,[{}]
2021,M02,February,141,[{}]
2021,M01,January,149,[{}]
2020,M12,December,111,[{}]
2020,M11,November,107,[{}]
2020,M10,October,135,[{}]
2020,M09,September,123,[{}]
2020,M08,August,116,[{}]
2020,M07,July,120,[{}]
2020,M06,June,108,[{}]
2020,M05,May,92,[{}]
2020,M04,April,99,[{}]
2020,M03,March,94,[{}]
2020,M02,February,100,[{}]
2020,M01,January,118,[{}]
2019,M12,December,79,[{}]
2019,M11,November,89,[{}]
2019,M10,October,119,[{}]
2019,M09,September,105,[{}]
2019,M08,August,104,[{}]
2019,M07,July,131,[{}]
2019,M06,June,111,[{}]
2019,M05,May,109,[{}]
2019,M04,April,138,[{}]
2019,M03,March,121,[{}]
2019,M02,February,116,[{}]
2019,M01,January,135,[{}]
