year,period,periodName,value,footnotes
2021,M12,December,122,[{}]
2021,M11,November,103,[{}]
2021,M10,October,130,[{}]
2021,M09,September,108,[{}]
2021,M08,August,121,[{}]
2021,M07,July,134,[{}]
2021,M06,June,101,[{}]
2021,M05,May,95,[{}]
2021,M04,April,101,[{}]
2021,M03,March,80,[{}]
2021,M02,February,82,[{}]
2021,M01,January,82,[{}]
2020,M12,December,74,[{}]
2020,M11,November,69,[{}]
2020,M10,October,74,[{}]
2020,M09,September,67,[{}]
2020,M08,August,67,[{}]
2020,M07,July,72,[{}]
2020,M06,June,55,[{}]
2020,M05,May,66,[{}]
2020,M04,April,85,[{}]
2020,M03,March,64,[{}]
2020,M02,February,71,[{}]
2020,M01,January,80,[{}]
2019,M12,December,65,[{}]
2019,M11,November,64,[{}]
2019,M10,October,79,[{}]
2019,M09,September,75,[{}]
2019,M08,August,75,[{}]
2019,M07,July,92,[{}]
2019,M06,June,79,[{}]
2019,M05,May,80,[{}]
2019,M04,April,101,[{}]
2019,M03,March,86,[{}]
2019,M02,February,73,[{}]
2019,M01,January,94,[{}]
