year,period,periodName,value,footnotes
2021,M12,December,185,[{}]
2021,M11,November,207,[{}]
2021,M10,October,227,[{}]
2021,M09,September,218,[{}]
2021,M08,August,219,[{}]
2021,M07,July,265,[{}]
2021,M06,June,205,[{}]
2021,M05,May,181,[{}]
2021,M04,April,216,[{}]
2021,M03,March,168,[{}]
2021,M02,February,149,[{}]
2021,M01,January,125,[{}]
2020,M12,December,116,[{}]
2020,M11,November,131,[{}]
2020,M10,October,141,[{}]
2020,M09,September,123,[{}]
2020,M08,August,131,[{}]
2020,M07,July,143,[{}]
2020,M06,June,134,[{}]
2020,M05,May,109,[{}]
2020,M04,April,115,[{}]
2020,M03,March,121,[{}]
2020,M02,February,136,[{}]
2020,M01,January,205,[{}]
2019,M12,December,135,[{}]
2019,M11,November,138,[{}]
2019,M10,October,145,[{}]
2019,M09,September,160,[{}]
2019,M08,August,177,[{}]
2019,M07,July,197,[{}]
2019,M06,June,170,[{}]
2019,M05,May,158,[{}]
2019,M04,April,208,[{}]
2019,M03,March,155,[{}]
2019,M02,February,139,[{}]
2019,M01,January,159,[{}]
