year,period,periodName,value,footnotes
2021,M12,December,81,[{}]
2021,M11,November,71,[{}]
2021,M10,October,87,[{}]
2021,M09,September,81,[{}]
2021,M08,August,93,[{}]
2021,M07,July,85,[{}]
2021,M06,June,78,[{}]
2021,M05,May,86,[{}]
2021,M04,April,80,[{}]
2021,M03,March,77,[{}]
2021,M02,February,64,[{}]
2021,M01,January,53,[{}]
2020,M12,December,58,[{}]
2020,M11,November,57,[{}]
2020,M10,October,63,[{}]
2020,M09,September,63,[{}]
2020,M08,August,73,[{}]
2020,M07,July,61,[{}]
2020,M06,June,52,[{}]
2020,M05,May,51,[{}]
2020,M04,April,41,[{}]
2020,M03,March,42,[{}]
2020,M02,February,52,[{}]
2020,M01,January,50,[{}]
2019,M12,December,44,[{}]
2019,M11,November,44,[{}]
2019,M10,October,52,[{}]
2019,M09,September,58,[{}]
2019,M08,August,58,[{}]
2019,M07,July,50,[{}]
2019,M06,June,53,[{}]
2019,M05,May,55,[{}]
2019,M04,April,61,[{}]
2019,M03,March,53,[{}]
2019,M02,February,51,[{}]
2019,M01,January,52,[{}]
