year,period,periodName,value,footnotes
2021,M12,December,399,[{}]
2021,M11,November,407,[{}]
2021,M10,October,429,[{}]
2021,M09,September,408,[{}]
2021,M08,August,422,[{}]
2021,M07,July,397,[{}]
2021,M06,June,351,[{}]
2021,M05,May,372,[{}]
2021,M04,April,358,[{}]
2021,M03,March,309,[{}]
2021,M02,February,293,[{}]
2021,M01,January,317,[{}]
2020,M12,December,294,[{}]
2020,M11,November,246,[{}]
2020,M10,October,259,[{}]
2020,M09,September,241,[{}]
2020,M08,August,256,[{}]
2020,M07,July,263,[{}]
2020,M06,June,217,[{}]
2020,M05,May,212,[{}]
2020,M04,April,174,[{}]
2020,M03,March,169,[{}]
2020,M02,February,218,[{}]
2020,M01,January,237,[{}]
2019,M12,December,228,[{}]
2019,M11,November,229,[{}]
2019,M10,October,248,[{}]
2019,M09,September,242,[{}]
2019,M08,August,216,[{}]
2019,M07,July,233,[{}]
2019,M06,June,208,[{}]
2019,M05,May,222,[{}]
2019,M04,April,261,[{}]
2019,M03,March,250,[{}]
2019,M02,February,220,[{}]
2019,M01,January,228,[{}]
