year,period,periodName,value,footnotes
2021,M12,December,80,[{}]
2021,M11,November,80,[{}]
2021,M10,October,88,[{}]
2021,M09,September,90,[{}]
2021,M08,August,90,[{}]
2021,M07,July,90,[{}]
2021,M06,June,84,[{}]
2021,M05,May,78,[{}]
2021,M04,April,83,[{}]
2021,M03,March,79,[{}]
2021,M02,February,59,[{}]
2021,M01,January,65,[{}]
2020,M12,December,55,[{}]
2020,M11,November,57,[{}]
2020,M10,October,61,[{}]
2020,M09,September,66,[{}]
2020,M08,August,64,[{}]
2020,M07,July,63,[{}]
2020,M06,June,44,[{}]
2020,M05,May,44,[{}]
2020,M04,April,53,[{}]
2020,M03,March,53,[{}]
2020,M02,February,59,[{}]
2020,M01,January,62,[{}]
2019,M12,December,54,[{}]
2019,M11,November,58,[{}]
2019,M10,October,70,[{}]
2019,M09,September,74,[{}]
2019,M08,August,71,[{}]
2019,M07,July,67,[{}]
2019,M06,June,59,[{}]
2019,M05,May,59,[{}]
2019,M04,April,62,[{}]
2019,M03,March,60,[{}]
2019,M02,February,60,[{}]
2019,M01,January,54,[{}]
