year,period,periodName,value,footnotes
2021,M12,December,206,[{}]
2021,M11,November,186,[{}]
2021,M10,October,210,[{}]
2021,M09,September,201,[{}]
2021,M08,August,229,[{}]
2021,M07,July,250,[{}]
2021,M06,June,234,[{}]
2021,M05,May,198,[{}]
2021,M04,April,195,[{}]
2021,M03,March,142,[{}]
2021,M02,February,136,[{}]
2021,M01,January,141,[{}]
2020,M12,December,104,[{}]
2020,M11,November,98,[{}]
2020,M10,October,116,[{}]
2020,M09,September,107,[{}]
2020,M08,August,112,[{}]
2020,M07,July,121,[{}]
2020,M06,June,101,[{}]
2020,M05,May,99,[{}]
2020,M04,April,107,[{}]
2020,M03,March,108,[{}]
2020,M02,February,122,[{}]
2020,M01,January,121,[{}]
2019,M12,December,116,[{}]
2019,M11,November,117,[{}]
2019,M10,October,133,[{}]
2019,M09,September,152,[{}]
2019,M08,August,156,[{}]
2019,M07,July,160,[{}]
2019,M06,June,154,[{}]
2019,M05,May,154,[{}]
2019,M04,April,163,[{}]
2019,M03,March,159,[{}]
2019,M02,February,147,[{}]
2019,M01,January,150,[{}]
