year,period,periodName,value,footnotes
2021,M12,December,206,[{}]
2021,M11,November,227,[{}]
2021,M10,October,238,[{}]
2021,M09,September,228,[{}]
2021,M08,August,234,[{}]
2021,M07,July,235,[{}]
2021,M06,June,215,[{}]
2021,M05,May,229,[{}]
2021,M04,April,220,[{}]
2021,M03,March,185,[{}]
2021,M02,February,169,[{}]
2021,M01,January,185,[{}]
2020,M12,December,139,[{}]
2020,M11,November,138,[{}]
2020,M10,October,152,[{}]
2020,M09,September,146,[{}]
2020,M08,August,153,[{}]
2020,M07,July,162,[{}]
2020,M06,June,148,[{}]
2020,M05,May,143,[{}]
2020,M04,April,116,[{}]
2020,M03,March,140,[{}]
2020,M02,February,153,[{}]
2020,M01,January,138,[{}]
2019,M12,December,107,[{}]
2019,M11,November,131,[{}]
2019,M10,October,145,[{}]
2019,M09,September,162,[{}]
2019,M08,August,163,[{}]
2019,M07,July,139,[{}]
2019,M06,June,138,[{}]
2019,M05,May,138,[{}]
2019,M04,April,146,[{}]
2019,M03,March,138,[{}]
2019,M02,February,128,[{}]
2019,M01,January,157,[{}]
