year,period,periodName,value,footnotes
2021,M12,December,461,[{}]
2021,M11,November,391,[{}]
2021,M10,October,419,[{}]
2021,M09,September,413,[{}]
2021,M08,August,442,[{}]
2021,M07,July,456,[{}]
2021,M06,June,403,[{}]
2021,M05,May,445,[{}]
2021,M04,April,419,[{}]
2021,M03,March,363,[{}]
2021,M02,February,294,[{}]
2021,M01,January,282,[{}]
2020,M12,December,232,[{}]
2020,M11,November,246,[{}]
2020,M10,October,310,[{}]
2020,M09,September,267,[{}]
2020,M08,August,258,[{}]
2020,M07,July,273,[{}]
2020,M06,June,241,[{}]
2020,M05,May,209,[{}]
2020,M04,April,217,[{}]
2020,M03,March,223,[{}]
2020,M02,February,246,[{}]
2020,M01,January,278,[{}]
2019,M12,December,235,[{}]
2019,M11,November,264,[{}]
2019,M10,October,299,[{}]
2019,M09,September,276,[{}]
2019,M08,August,280,[{}]
2019,M07,July,254,[{}]
2019,M06,June,260,[{}]
2019,M05,May,301,[{}]
2019,M04,April,288,[{}]
2019,M03,March,291,[{}]
2019,M02,February,261,[{}]
2019,M01,January,294,[{}]
