year,period,periodName,value,footnotes
2021,M12,December,29,[{}]
2021,M11,November,23,[{}]
2021,M10,October,25,[{}]
2021,M09,September,41,[{}]
2021,M08,August,41,[{}]
2021,M07,July,33,[{}]
2021,M06,June,41,[{}]
2021,M05,May,34,[{}]
2021,M04,April,25,[{}]
2021,M03,March,21,[{}]
2021,M02,February,21,[{}]
2021,M01,January,20,[{}]
2020,M12,December,17,[{}]
2020,M11,November,15,[{}]
2020,M10,October,17,[{}]
2020,M09,September,17,[{}]
2020,M08,August,19,[{}]
2020,M07,July,23,[{}]
2020,M06,June,19,[{}]
2020,M05,May,18,[{}]
2020,M04,April,15,[{}]
2020,M03,March,17,[{}]
2020,M02,February,22,[{}]
2020,M01,January,21,[{}]
2019,M12,December,17,[{}]
2019,M11,November,15,[{}]
2019,M10,October,18,[{}]
2019,M09,September,18,[{}]
2019,M08,August,22,[{}]
2019,M07,July,27,[{}]
2019,M06,June,34,[{}]
2019,M05,May,37,[{}]
2019,M04,April,24,[{}]
2019,M03,March,21,[{}]
2019,M02,February,23,[{}]
2019,M01,January,20,[{}]
