year,period,periodName,value,footnotes
2021,M12,December,1116,[{}]
2021,M11,November,1123,[{}]
2021,M10,October,1271,[{}]
2021,M09,September,1153,[{}]
2021,M08,August,1126,[{}]
2021,M07,July,1191,[{}]
2021,M06,June,989,[{}]
2021,M05,May,919,[{}]
2021,M04,April,964,[{}]
2021,M03,March,791,[{}]
2021,M02,February,710,[{}]
2021,M01,January,719,[{}]
2020,M12,December,597,[{}]
2020,M11,November,665,[{}]
2020,M10,October,799,[{}]
2020,M09,September,683,[{}]
2020,M08,August,663,[{}]
2020,M07,July,780,[{}]
2020,M06,June,619,[{}]
2020,M05,May,563,[{}]
2020,M04,April,500,[{}]
2020,M03,March,630,[{}]
2020,M02,February,736,[{}]
2020,M01,January,831,[{}]
2019,M12,December,681,[{}]
2019,M11,November,700,[{}]
2019,M10,October,874,[{}]
2019,M09,September,770,[{}]
2019,M08,August,760,[{}]
2019,M07,July,806,[{}]
2019,M06,June,817,[{}]
2019,M05,May,741,[{}]
2019,M04,April,817,[{}]
2019,M03,March,758,[{}]
2019,M02,February,700,[{}]
2019,M01,January,779,[{}]
