year,period,periodName,value,footnotes
2021,M12,December,129,[{}]
2021,M11,November,119,[{}]
2021,M10,October,165,[{}]
2021,M09,September,138,[{}]
2021,M08,August,143,[{}]
2021,M07,July,144,[{}]
2021,M06,June,124,[{}]
2021,M05,May,110,[{}]
2021,M04,April,122,[{}]
2021,M03,March,111,[{}]
2021,M02,February,105,[{}]
2021,M01,January,107,[{}]
2020,M12,December,82,[{}]
2020,M11,November,87,[{}]
2020,M10,October,114,[{}]
2020,M09,September,94,[{}]
2020,M08,August,107,[{}]
2020,M07,July,103,[{}]
2020,M06,June,79,[{}]
2020,M05,May,78,[{}]
2020,M04,April,70,[{}]
2020,M03,March,73,[{}]
2020,M02,February,95,[{}]
2020,M01,January,97,[{}]
2019,M12,December,74,[{}]
2019,M11,November,82,[{}]
2019,M10,October,100,[{}]
2019,M09,September,98,[{}]
2019,M08,August,102,[{}]
2019,M07,July,99,[{}]
2019,M06,June,87,[{}]
2019,M05,May,87,[{}]
2019,M04,April,101,[{}]
2019,M03,March,94,[{}]
2019,M02,February,83,[{}]
2019,M01,January,96,[{}]
