year,period,periodName,value,footnotes
2021,M12,December,71,[{}]
2021,M11,November,71,[{}]
2021,M10,October,81,[{}]
2021,M09,September,71,[{}]
2021,M08,August,68,[{}]
2021,M07,July,74,[{}]
2021,M06,June,63,[{}]
2021,M05,May,63,[{}]
2021,M04,April,61,[{}]
2021,M03,March,54,[{}]
2021,M02,February,49,[{}]
2021,M01,January,53,[{}]
2020,M12,December,46,[{}]
2020,M11,November,51,[{}]
2020,M10,October,52,[{}]
2020,M09,September,48,[{}]
2020,M08,August,43,[{}]
2020,M07,July,56,[{}]
2020,M06,June,36,[{}]
2020,M05,May,32,[{}]
2020,M04,April,40,[{}]
2020,M03,March,42,[{}]
2020,M02,February,48,[{}]
2020,M01,January,49,[{}]
2019,M12,December,41,[{}]
2019,M11,November,46,[{}]
2019,M10,October,56,[{}]
2019,M09,September,51,[{}]
2019,M08,August,49,[{}]
2019,M07,July,53,[{}]
2019,M06,June,48,[{}]
2019,M05,May,52,[{}]
2019,M04,April,50,[{}]
2019,M03,March,50,[{}]
2019,M02,February,48,[{}]
2019,M01,January,52,[{}]
