year,period,periodName,value,footnotes
2021,M12,December,818,[{}]
2021,M11,November,868,[{}]
2021,M10,October,965,[{}]
2021,M09,September,867,[{}]
2021,M08,August,970,[{}]
2021,M07,July,1000,[{}]
2021,M06,June,896,[{}]
2021,M05,May,814,[{}]
2021,M04,April,845,[{}]
2021,M03,March,718,[{}]
2021,M02,February,609,[{}]
2021,M01,January,563,[{}]
2020,M12,December,466,[{}]
2020,M11,November,515,[{}]
2020,M10,October,597,[{}]
2020,M09,September,612,[{}]
2020,M08,August,523,[{}]
2020,M07,July,493,[{}]
2020,M06,June,438,[{}]
2020,M05,May,381,[{}]
2020,M04,April,348,[{}]
2020,M03,March,404,[{}]
2020,M02,February,521,[{}]
2020,M01,January,519,[{}]
2019,M12,December,429,[{}]
2019,M11,November,510,[{}]
2019,M10,October,562,[{}]
2019,M09,September,563,[{}]
2019,M08,August,619,[{}]
2019,M07,July,639,[{}]
2019,M06,June,566,[{}]
2019,M05,May,584,[{}]
2019,M04,April,665,[{}]
2019,M03,March,583,[{}]
2019,M02,February,581,[{}]
2019,M01,January,604,[{}]
