year,period,periodName,value,footnotes
2021,M12,December,220,[{}]
2021,M11,November,204,[{}]
2021,M10,October,244,[{}]
2021,M09,September,209,[{}]
2021,M08,August,237,[{}]
2021,M07,July,236,[{}]
2021,M06,June,188,[{}]
2021,M05,May,209,[{}]
2021,M04,April,202,[{}]
2021,M03,March,171,[{}]
2021,M02,February,176,[{}]
2021,M01,January,173,[{}]
2020,M12,December,160,[{}]
2020,M11,November,141,[{}]
2020,M10,October,181,[{}]
2020,M09,September,153,[{}]
2020,M08,August,174,[{}]
2020,M07,July,152,[{}]
2020,M06,June,125,[{}]
2020,M05,May,127,[{}]
2020,M04,April,123,[{}]
2020,M03,March,120,[{}]
2020,M02,February,153,[{}]
2020,M01,January,166,[{}]
2019,M12,December,138,[{}]
2019,M11,November,142,[{}]
2019,M10,October,151,[{}]
2019,M09,September,169,[{}]
2019,M08,August,162,[{}]
2019,M07,July,165,[{}]
2019,M06,June,136,[{}]
2019,M05,May,158,[{}]
2019,M04,April,166,[{}]
2019,M03,March,150,[{}]
2019,M02,February,163,[{}]
2019,M01,January,208,[{}]
