year,period,periodName,value,footnotes
2021,M12,December,61,[{}]
2021,M11,November,55,[{}]
2021,M10,October,64,[{}]
2021,M09,September,65,[{}]
2021,M08,August,72,[{}]
2021,M07,July,69,[{}]
2021,M06,June,66,[{}]
2021,M05,May,56,[{}]
2021,M04,April,56,[{}]
2021,M03,March,45,[{}]
2021,M02,February,42,[{}]
2021,M01,January,40,[{}]
2020,M12,December,38,[{}]
2020,M11,November,36,[{}]
2020,M10,October,40,[{}]
2020,M09,September,34,[{}]
2020,M08,August,34,[{}]
2020,M07,July,41,[{}]
2020,M06,June,35,[{}]
2020,M05,May,37,[{}]
2020,M04,April,42,[{}]
2020,M03,March,35,[{}]
2020,M02,February,38,[{}]
2020,M01,January,37,[{}]
2019,M12,December,36,[{}]
2019,M11,November,34,[{}]
2019,M10,October,40,[{}]
2019,M09,September,41,[{}]
2019,M08,August,37,[{}]
2019,M07,July,51,[{}]
2019,M06,June,44,[{}]
2019,M05,May,42,[{}]
2019,M04,April,41,[{}]
2019,M03,March,40,[{}]
2019,M02,February,38,[{}]
2019,M01,January,37,[{}]
