year,period,periodName,value,footnotes
2021,M12,December,60,[{}]
2021,M11,November,57,[{}]
2021,M10,October,61,[{}]
2021,M09,September,42,[{}]
2021,M08,August,44,[{}]
2021,M07,July,54,[{}]
2021,M06,June,40,[{}]
2021,M05,May,36,[{}]
2021,M04,April,41,[{}]
2021,M03,March,30,[{}]
2021,M02,February,27,[{}]
2021,M01,January,27,[{}]
2020,M12,December,31,[{}]
2020,M11,November,32,[{}]
2020,M10,October,33,[{}]
2020,M09,September,19,[{}]
2020,M08,August,20,[{}]
2020,M07,July,26,[{}]
2020,M06,June,20,[{}]
2020,M05,May,21,[{}]
2020,M04,April,15,[{}]
2020,M03,March,21,[{}]
2020,M02,February,27,[{}]
2020,M01,January,39,[{}]
2019,M12,December,27,[{}]
2019,M11,November,28,[{}]
2019,M10,October,31,[{}]
2019,M09,September,32,[{}]
2019,M08,August,31,[{}]
2019,M07,July,34,[{}]
2019,M06,June,29,[{}]
2019,M05,May,28,[{}]
2019,M04,April,25,[{}]
2019,M03,March,29,[{}]
2019,M02,February,31,[{}]
2019,M01,January,49,[{}]
