year,period,periodName,value,footnotes
2021,M12,December,383,[{}]
2021,M11,November,345,[{}]
2021,M10,October,368,[{}]
2021,M09,September,344,[{}]
2021,M08,August,373,[{}]
2021,M07,July,398,[{}]
2021,M06,June,347,[{}]
2021,M05,May,292,[{}]
2021,M04,April,328,[{}]
2021,M03,March,314,[{}]
2021,M02,February,288,[{}]
2021,M01,January,300,[{}]
2020,M12,December,228,[{}]
2020,M11,November,205,[{}]
2020,M10,October,275,[{}]
2020,M09,September,237,[{}]
2020,M08,August,215,[{}]
2020,M07,July,239,[{}]
2020,M06,June,205,[{}]
2020,M05,May,187,[{}]
2020,M04,April,174,[{}]
2020,M03,March,175,[{}]
2020,M02,February,217,[{}]
2020,M01,January,227,[{}]
2019,M12,December,227,[{}]
2019,M11,November,248,[{}]
2019,M10,October,341,[{}]
2019,M09,September,282,[{}]
2019,M08,August,295,[{}]
2019,M07,July,277,[{}]
2019,M06,June,266,[{}]
2019,M05,May,283,[{}]
2019,M04,April,305,[{}]
2019,M03,March,296,[{}]
2019,M02,February,278,[{}]
2019,M01,January,283,[{}]
