year,period,periodName,value,footnotes
2021,M12,December,194,[{}]
2021,M11,November,216,[{}]
2021,M10,October,226,[{}]
2021,M09,September,243,[{}]
2021,M08,August,212,[{}]
2021,M07,July,232,[{}]
2021,M06,June,204,[{}]
2021,M05,May,196,[{}]
2021,M04,April,194,[{}]
2021,M03,March,159,[{}]
2021,M02,February,134,[{}]
2021,M01,January,121,[{}]
2020,M12,December,109,[{}]
2020,M11,November,120,[{}]
2020,M10,October,134,[{}]
2020,M09,September,132,[{}]
2020,M08,August,125,[{}]
2020,M07,July,182,[{}]
2020,M06,June,126,[{}]
2020,M05,May,116,[{}]
2020,M04,April,110,[{}]
2020,M03,March,116,[{}]
2020,M02,February,144,[{}]
2020,M01,January,158,[{}]
2019,M12,December,122,[{}]
2019,M11,November,137,[{}]
2019,M10,October,167,[{}]
2019,M09,September,155,[{}]
2019,M08,August,156,[{}]
2019,M07,July,164,[{}]
2019,M06,June,161,[{}]
2019,M05,May,156,[{}]
2019,M04,April,168,[{}]
2019,M03,March,152,[{}]
2019,M02,February,148,[{}]
2019,M01,January,158,[{}]
