year,period,periodName,value,footnotes
2021,M12,December,88,[{}]
2021,M11,November,91,[{}]
2021,M10,October,105,[{}]
2021,M09,September,91,[{}]
2021,M08,August,81,[{}]
2021,M07,July,94,[{}]
2021,M06,June,78,[{}]
2021,M05,May,80,[{}]
2021,M04,April,81,[{}]
2021,M03,March,82,[{}]
2021,M02,February,64,[{}]
2021,M01,January,69,[{}]
2020,M12,December,62,[{}]
2020,M11,November,62,[{}]
2020,M10,October,74,[{}]
2020,M09,September,63,[{}]
2020,M08,August,64,[{}]
2020,M07,July,71,[{}]
2020,M06,June,54,[{}]
2020,M05,May,51,[{}]
2020,M04,April,55,[{}]
2020,M03,March,53,[{}]
2020,M02,February,70,[{}]
2020,M01,January,72,[{}]
2019,M12,December,53,[{}]
2019,M11,November,61,[{}]
2019,M10,October,74,[{}]
2019,M09,September,73,[{}]
2019,M08,August,75,[{}]
2019,M07,July,75,[{}]
2019,M06,June,71,[{}]
2019,M05,May,67,[{}]
2019,M04,April,84,[{}]
2019,M03,March,75,[{}]
2019,M02,February,76,[{}]
2019,M01,January,79,[{}]
