year,period,periodName,value,footnotes
2021,M12,December,33,[{}]
2021,M11,November,39,[{}]
2021,M10,October,44,[{}]
2021,M09,September,51,[{}]
2021,M08,August,44,[{}]
2021,M07,July,46,[{}]
2021,M06,June,52,[{}]
2021,M05,May,41,[{}]
2021,M04,April,46,[{}]
2021,M03,March,32,[{}]
2021,M02,February,32,[{}]
2021,M01,January,33,[{}]
2020,M12,December,22,[{}]
2020,M11,November,27,[{}]
2020,M10,October,32,[{}]
2020,M09,September,29,[{}]
2020,M08,August,29,[{}]
2020,M07,July,42,[{}]
2020,M06,June,29,[{}]
2020,M05,May,19,[{}]
2020,M04,April,30,[{}]
2020,M03,March,26,[{}]
2020,M02,February,33,[{}]
2020,M01,January,31,[{}]
2019,M12,December,24,[{}]
2019,M11,November,29,[{}]
2019,M10,October,40,[{}]
2019,M09,September,36,[{}]
2019,M08,August,28,[{}]
2019,M07,July,35,[{}]
2019,M06,June,32,[{}]
2019,M05,May,30,[{}]
2019,M04,April,32,[{}]
2019,M03,March,30,[{}]
2019,M02,February,31,[{}]
2019,M01,January,29,[{}]
