year,period,periodName,value,footnotes
2021,M12,December,28,[{}]
2021,M11,November,18,[{}]
2021,M10,October,21,[{}]
2021,M09,September,28,[{}]
2021,M08,August,31,[{}]
2021,M07,July,24,[{}]
2021,M06,June,29,[{}]
2021,M05,May,26,[{}]
2021,M04,April,18,[{}]
2021,M03,March,14,[{}]
2021,M02,February,15,[{}]
2021,M01,January,14,[{}]
2020,M12,December,17,[{}]
2020,M11,November,12,[{}]
2020,M10,October,13,[{}]
2020,M09,September,13,[{}]
2020,M08,August,14,[{}]
2020,M07,July,15,[{}]
2020,M06,June,13,[{}]
2020,M05,May,12,[{}]
2020,M04,April,13,[{}]
2020,M03,March,12,[{}]
2020,M02,February,13,[{}]
2020,M01,January,16,[{}]
2019,M12,December,17,[{}]
2019,M11,November,13,[{}]
2019,M10,October,16,[{}]
2019,M09,September,17,[{}]
2019,M08,August,17,[{}]
2019,M07,July,20,[{}]
2019,M06,June,26,[{}]
2019,M05,May,22,[{}]
2019,M04,April,16,[{}]
2019,M03,March,14,[{}]
2019,M02,February,13,[{}]
2019,M01,January,16,[{}]
