year,period,periodName,value,footnotes
2021,M12,December,638,[{}]
2021,M11,November,623,[{}]
2021,M10,October,756,[{}]
2021,M09,September,653,[{}]
2021,M08,August,665,[{}]
2021,M07,July,735,[{}]
2021,M06,June,565,[{}]
2021,M05,May,557,[{}]
2021,M04,April,552,[{}]
2021,M03,March,473,[{}]
2021,M02,February,486,[{}]
2021,M01,January,419,[{}]
2020,M12,December,385,[{}]
2020,M11,November,411,[{}]
2020,M10,October,446,[{}]
2020,M09,September,383,[{}]
2020,M08,August,378,[{}]
2020,M07,July,415,[{}]
2020,M06,June,326,[{}]
2020,M05,May,309,[{}]
2020,M04,April,297,[{}]
2020,M03,March,377,[{}]
2020,M02,February,409,[{}]
2020,M01,January,420,[{}]
2019,M12,December,400,[{}]
2019,M11,November,415,[{}]
2019,M10,October,436,[{}]
2019,M09,September,416,[{}]
2019,M08,August,432,[{}]
2019,M07,July,445,[{}]
2019,M06,June,377,[{}]
2019,M05,May,428,[{}]
2019,M04,April,434,[{}]
2019,M03,March,435,[{}]
2019,M02,February,364,[{}]
2019,M01,January,442,[{}]
