year,period,periodName,value,footnotes
2021,M12,December,406,[{}]
2021,M11,November,375,[{}]
2021,M10,October,466,[{}]
2021,M09,September,441,[{}]
2021,M08,August,414,[{}]
2021,M07,July,416,[{}]
2021,M06,June,399,[{}]
2021,M05,May,347,[{}]
2021,M04,April,350,[{}]
2021,M03,March,309,[{}]
2021,M02,February,253,[{}]
2021,M01,January,262,[{}]
2020,M12,December,254,[{}]
2020,M11,November,241,[{}]
2020,M10,October,281,[{}]
2020,M09,September,237,[{}]
2020,M08,August,226,[{}]
2020,M07,July,273,[{}]
2020,M06,June,226,[{}]
2020,M05,May,194,[{}]
2020,M04,April,172,[{}]
2020,M03,March,222,[{}]
2020,M02,February,265,[{}]
2020,M01,January,249,[{}]
2019,M12,December,241,[{}]
2019,M11,November,242,[{}]
2019,M10,October,300,[{}]
2019,M09,September,252,[{}]
2019,M08,August,252,[{}]
2019,M07,July,268,[{}]
2019,M06,June,275,[{}]
2019,M05,May,274,[{}]
2019,M04,April,299,[{}]
2019,M03,March,304,[{}]
2019,M02,February,293,[{}]
2019,M01,January,304,[{}]
