year,period,periodName,value,footnotes
2021,M12,December,155,[{}]
2021,M11,November,142,[{}]
2021,M10,October,163,[{}]
2021,M09,September,148,[{}]
2021,M08,August,173,[{}]
2021,M07,July,176,[{}]
2021,M06,June,150,[{}]
2021,M05,May,150,[{}]
2021,M04,April,167,[{}]
2021,M03,March,126,[{}]
2021,M02,February,109,[{}]
2021,M01,January,116,[{}]
2020,M12,December,90,[{}]
2020,M11,November,100,[{}]
2020,M10,October,105,[{}]
2020,M09,September,96,[{}]
2020,M08,August,103,[{}]
2020,M07,July,111,[{}]
2020,M06,June,101,[{}]
2020,M05,May,85,[{}]
2020,M04,April,75,[{}]
2020,M03,March,93,[{}]
2020,M02,February,85,[{}]
2020,M01,January,91,[{}]
2019,M12,December,81,[{}]
2019,M11,November,95,[{}]
2019,M10,October,98,[{}]
2019,M09,September,99,[{}]
2019,M08,August,91,[{}]
2019,M07,July,86,[{}]
2019,M06,June,85,[{}]
2019,M05,May,87,[{}]
2019,M04,April,91,[{}]
2019,M03,March,95,[{}]
2019,M02,February,91,[{}]
2019,M01,January,86,[{}]
