year,period,periodName,value,footnotes
2021,M12,December,46,[{}]
2021,M11,November,40,[{}]
2021,M10,October,41,[{}]
2021,M09,September,47,[{}]
2021,M08,August,56,[{}]
2021,M07,July,60,[{}]
2021,M06,June,44,[{}]
2021,M05,May,46,[{}]
2021,M04,April,43,[{}]
2021,M03,March,35,[{}]
2021,M02,February,32,[{}]
2021,M01,January,35,[{}]
2020,M12,December,26,[{}]
2020,M11,November,25,[{}]
2020,M10,October,29,[{}]
2020,M09,September,30,[{}]
2020,M08,August,26,[{}]
2020,M07,July,30,[{}]
2020,M06,June,25,[{}]
2020,M05,May,25,[{}]
2020,M04,April,24,[{}]
2020,M03,March,22,[{}]
2020,M02,February,27,[{}]
2020,M01,January,30,[{}]
2019,M12,December,29,[{}]
2019,M11,November,27,[{}]
2019,M10,October,31,[{}]
2019,M09,September,30,[{}]
2019,M08,August,32,[{}]
2019,M07,July,31,[{}]
2019,M06,June,36,[{}]
2019,M05,May,39,[{}]
2019,M04,April,32,[{}]
2019,M03,March,28,[{}]
2019,M02,February,27,[{}]
2019,M01,January,31,[{}]
