year,period,periodName,value,footnotes
2021,M12,December,46,[{}]
2021,M11,November,36,[{}]
2021,M10,October,43,[{}]
2021,M09,September,44,[{}]
2021,M08,August,49,[{}]
2021,M07,July,47,[{}]
2021,M06,June,45,[{}]
2021,M05,May,41,[{}]
2021,M04,April,38,[{}]
2021,M03,March,30,[{}]
2021,M02,February,25,[{}]
2021,M01,January,25,[{}]
2020,M12,December,27,[{}]
2020,M11,November,22,[{}]
2020,M10,October,25,[{}]
2020,M09,September,26,[{}]
2020,M08,August,24,[{}]
2020,M07,July,27,[{}]
2020,M06,June,24,[{}]
2020,M05,May,26,[{}]
2020,M04,April,23,[{}]
2020,M03,March,22,[{}]
2020,M02,February,22,[{}]
2020,M01,January,25,[{}]
2019,M12,December,26,[{}]
2019,M11,November,22,[{}]
2019,M10,October,24,[{}]
2019,M09,September,27,[{}]
2019,M08,August,29,[{}]
2019,M07,July,32,[{}]
2019,M06,June,33,[{}]
2019,M05,May,34,[{}]
2019,M04,April,31,[{}]
2019,M03,March,24,[{}]
2019,M02,February,22,[{}]
2019,M01,January,24,[{}]
