year,period,periodName,value,footnotes
2021,M12,December,254,[{}]
2021,M11,November,280,[{}]
2021,M10,October,315,[{}]
2021,M09,September,279,[{}]
2021,M08,August,279,[{}]
2021,M07,July,303,[{}]
2021,M06,June,217,[{}]
2021,M05,May,224,[{}]
2021,M04,April,219,[{}]
2021,M03,March,198,[{}]
2021,M02,February,162,[{}]
2021,M01,January,148,[{}]
2020,M12,December,130,[{}]
2020,M11,November,147,[{}]
2020,M10,October,167,[{}]
2020,M09,September,136,[{}]
2020,M08,August,138,[{}]
2020,M07,July,167,[{}]
2020,M06,June,130,[{}]
2020,M05,May,111,[{}]
2020,M04,April,123,[{}]
2020,M03,March,134,[{}]
2020,M02,February,173,[{}]
2020,M01,January,166,[{}]
2019,M12,December,134,[{}]
2019,M11,November,143,[{}]
2019,M10,October,174,[{}]
2019,M09,September,166,[{}]
2019,M08,August,185,[{}]
2019,M07,July,162,[{}]
2019,M06,June,157,[{}]
2019,M05,May,176,[{}]
2019,M04,April,188,[{}]
2019,M03,March,184,[{}]
2019,M02,February,164,[{}]
2019,M01,January,192,[{}]
