year,period,periodName,value,footnotes
2021,M12,December,298,[{}]
2021,M11,November,333,[{}]
2021,M10,October,388,[{}]
2021,M09,September,369,[{}]
2021,M08,August,394,[{}]
2021,M07,July,393,[{}]
2021,M06,June,357,[{}]
2021,M05,May,378,[{}]
2021,M04,April,343,[{}]
2021,M03,March,268,[{}]
2021,M02,February,266,[{}]
2021,M01,January,256,[{}]
2020,M12,December,192,[{}]
2020,M11,November,204,[{}]
2020,M10,October,206,[{}]
2020,M09,September,213,[{}]
2020,M08,August,241,[{}]
2020,M07,July,240,[{}]
2020,M06,June,217,[{}]
2020,M05,May,145,[{}]
2020,M04,April,105,[{}]
2020,M03,March,146,[{}]
2020,M02,February,205,[{}]
2020,M01,January,206,[{}]
2019,M12,December,181,[{}]
2019,M11,November,214,[{}]
2019,M10,October,259,[{}]
2019,M09,September,217,[{}]
2019,M08,August,223,[{}]
2019,M07,July,205,[{}]
2019,M06,June,218,[{}]
2019,M05,May,232,[{}]
2019,M04,April,225,[{}]
2019,M03,March,235,[{}]
2019,M02,February,194,[{}]
2019,M01,January,211,[{}]
