year,period,periodName,value,footnotes
2021,M12,December,62,[{}]
2021,M11,November,54,[{}]
2021,M10,October,47,[{}]
2021,M09,September,52,[{}]
2021,M08,August,58,[{}]
2021,M07,July,65,[{}]
2021,M06,June,53,[{}]
2021,M05,May,52,[{}]
2021,M04,April,48,[{}]
2021,M03,March,39,[{}]
2021,M02,February,37,[{}]
2021,M01,January,36,[{}]
2020,M12,December,34,[{}]
2020,M11,November,29,[{}]
2020,M10,October,30,[{}]
2020,M09,September,27,[{}]
2020,M08,August,32,[{}]
2020,M07,July,32,[{}]
2020,M06,June,31,[{}]
2020,M05,May,29,[{}]
2020,M04,April,27,[{}]
2020,M03,March,32,[{}]
2020,M02,February,34,[{}]
2020,M01,January,34,[{}]
2019,M12,December,34,[{}]
2019,M11,November,30,[{}]
2019,M10,October,30,[{}]
2019,M09,September,29,[{}]
2019,M08,August,36,[{}]
2019,M07,July,33,[{}]
2019,M06,June,34,[{}]
2019,M05,May,34,[{}]
2019,M04,April,31,[{}]
2019,M03,March,30,[{}]
2019,M02,February,28,[{}]
2019,M01,January,33,[{}]
