year,period,periodName,value,footnotes
2021,M12,December,29,[{}]
2021,M11,November,21,[{}]
2021,M10,October,24,[{}]
2021,M09,September,23,[{}]
2021,M08,August,25,[{}]
2021,M07,July,28,[{}]
2021,M06,June,21,[{}]
2021,M05,May,23,[{}]
2021,M04,April,24,[{}]
2021,M03,March,16,[{}]
2021,M02,February,15,[{}]
2021,M01,January,15,[{}]
2020,M12,December,16,[{}]
2020,M11,November,11,[{}]
2020,M10,October,16,[{}]
2020,M09,September,14,[{}]
2020,M08,August,13,[{}]
2020,M07,July,12,[{}]
2020,M06,June,12,[{}]
2020,M05,May,12,[{}]
2020,M04,April,13,[{}]
2020,M03,March,11,[{}]
2020,M02,February,13,[{}]
2020,M01,January,16,[{}]
2019,M12,December,17,[{}]
2019,M11,November,15,[{}]
2019,M10,October,16,[{}]
2019,M09,September,14,[{}]
2019,M08,August,17,[{}]
2019,M07,July,21,[{}]
2019,M06,June,17,[{}]
2019,M05,May,19,[{}]
2019,M04,April,14,[{}]
2019,M03,March,14,[{}]
2019,M02,February,13,[{}]
2019,M01,January,16,[{}]
